Graph1;Graph2;Cout;Temps(ms)
AP1_0000;HP1_0114;6.0;15.0
AP1_0000;HP1_0115;3.0;3.0
AP1_0000;HP1_0116;4.0;8.0
AP1_0000;HP1_0117;4.0;8.0
AP1_0000;HP1_0118;4.0;7.0
AP1_0000;HP1_0119;5.0;16.0
AP1_0000;HP1_0120;2.0;8.0
AP1_0000;HP1_0121;2.0;3.0
AP1_0000;HP1_0122;2.0;9.0
AP1_0000;HP1_0123;6.0;16.0
AP1_0000;HP1_0124;2.0;7.0
AP1_0000;HP1_0125;3.0;5.0
AP1_0000;HP1_0126;3.0;3.0
AP1_0000;HP1_0127;5.0;16.0
AP1_0000;HP1_0128;3.0;3.0
AP1_0000;HP1_0129;3.0;3.0
AP1_0000;HP1_0130;2.0;6.0
AP1_0000;HP1_0131;5.0;9.0
AP1_0000;HP1_0132;3.0;3.0
AP1_0000;HP1_0133;2.0;6.0
AP1_0000;HP1_0134;1.0;6.0
AP1_0000;HP1_0135;1.0;6.0
AP1_0000;HP1_0136;1.0;7.0
AP1_0000;HP1_0137;3.0;3.0
AP1_0000;HP1_0138;3.0;6.0
AP1_0000;HP1_0139;3.0;4.0
AP1_0000;HP1_0140;3.0;4.0
AP1_0000;HP1_0141;2.0;8.0
AP1_0000;HP1_0142;3.0;3.0
AP1_0000;HP1_0143;3.0;6.0
AP1_0000;HP1_0144;2.0;6.0
AP1_0000;HP1_0145;3.0;3.0
AP1_0000;HP1_0146;3.0;3.0
AP1_0000;HP1_0147;3.0;3.0
AP1_0000;HP1_0148;2.0;8.0
AP1_0000;HP1_0149;3.0;3.0
AP1_0000;IP1_0000;3.0;4.0
AP1_0000;IP1_0001;2.0;0.0
AP1_0000;IP1_0002;2.0;1.0
AP1_0000;IP1_0003;3.0;3.0
AP1_0000;IP1_0004;3.0;3.0
AP1_0000;IP1_0005;3.0;3.0
AP1_0000;IP1_0006;3.0;3.0
AP1_0000;IP1_0007;3.0;2.0
AP1_0000;IP1_0008;3.0;3.0
AP1_0000;IP1_0009;3.0;4.0
AP1_0000;IP1_0010;2.0;0.0
AP1_0000;IP1_0011;3.0;3.0
AP1_0000;IP1_0012;3.0;3.0
AP1_0000;IP1_0013;3.0;4.0
AP1_0000;IP1_0014;3.0;2.0
AP1_0000;IP1_0015;3.0;3.0
AP1_0000;IP1_0016;3.0;3.0
AP1_0000;IP1_0017;3.0;3.0
AP1_0000;IP1_0018;3.0;3.0
